"season","team","points","h_plays","h_wins","h_draws","h_losses","h_scored","h_conceded","h_ww","h_dw","h_lw","h_wd","h_dd","h_ld","h_wl","h_dl","h_ll","a_plays","a_wins","a_draws","a_losses","a_scored","a_conceded","a_ww","a_dw","a_lw","a_wd","a_dd","a_ld","a_wl","a_dl","a_ll","all_plays","all_wins","all_draws","all_losses","all_scored","all_conceded","all_ww","all_dw","all_lw","all_wd","all_dd","all_ld","all_wl","all_dl","all_ll"
"2017-2018","Crystal Palace","44","19","7","5","7","29","27","4","2","1","0","3","2","2","1","4","19","4","6","9","16","28","2","0","2","0","6","0","0","4","5","38","11","11","16","45","55","6","2","3","0","9","2","2","5","9"
"2017-2018","Everton","49","19","10","4","5","28","22","3","7","0","0","3","1","0","2","3","19","3","6","10","16","36","2","1","0","2","3","1","1","2","7","38","13","10","15","44","58","5","8","0","2","6","2","1","4","10"
"2017-2018","Huddersfield","37","19","6","5","8","16","25","4","2","0","1","4","0","1","1","6","19","3","5","11","12","33","2","1","0","0","4","1","0","7","4","38","9","10","19","28","58","6","3","0","1","8","1","1","8","10"
"2017-2018","Leicester","47","19","7","6","6","25","22","6","1","0","1","3","2","0","0","6","19","5","5","9","31","38","2","3","0","0","5","0","2","4","3","38","12","11","15","56","60","8","4","0","1","8","2","2","4","9"
"2017-2018","Liverpool","75","19","12","7","0","45","10","8","3","1","2","5","0","0","0","0","19","9","5","5","39","28","7","1","1","2","2","1","0","0","5","38","21","12","5","84","38","15","4","2","4","7","1","0","0","5"
"2017-2018","Man City","100","19","16","2","1","61","14","12","3","1","0","1","1","1","0","0","19","16","2","1","45","13","10","5","1","1","1","0","0","1","0","38","32","4","2","106","27","22","8","2","1","2","1","1","1","0"
"2017-2018","Man United","81","19","15","2","2","38","9","10","5","0","0","1","1","0","2","0","19","10","4","5","30","19","6","2","2","0","4","0","0","3","2","38","25","6","7","68","28","16","7","2","0","5","1","0","5","2"
"2017-2018","Newcastle","44","19","8","4","7","21","17","4","4","0","0","4","0","0","3","4","19","4","4","11","18","30","1","3","0","3","0","1","0","5","6","38","12","8","18","39","47","5","7","0","3","4","1","0","8","10"
"2017-2018","Southampton","36","19","4","7","8","20","26","1","3","0","2","3","2","2","2","4","19","3","8","8","17","30","2","1","0","2","5","1","0","1","7","38","7","15","16","37","56","3","4","0","4","8","3","2","3","11"
"2017-2018","Stoke","33","19","5","5","9","20","30","3","2","0","1","3","1","1","3","5","19","2","7","10","15","38","2","0","0","2","4","1","1","3","6","38","7","12","19","35","68","5","2","0","3","7","2","2","6","11"
"2017-2018","Swansea","33","19","6","3","10","17","24","3","3","0","0","2","1","0","2","8","19","2","6","11","11","32","1","0","1","0","5","1","1","3","7","38","8","9","21","28","56","4","3","1","0","7","2","1","5","15"
"2017-2018","Tottenham","77","19","13","4","2","40","16","8","4","1","0","3","1","0","0","2","19","10","4","5","34","20","5","5","0","0","3","1","0","2","3","38","23","8","7","74","36","13","9","1","0","6","2","0","2","5"
"2017-2018","Watford","41","19","7","6","6","27","31","3","3","1","1","4","1","1","1","4","19","4","2","13","17","33","3","1","0","0","1","1","1","4","8","38","11","8","19","44","64","6","4","1","1","5","2","2","5","12"
"2017-2018","West Brom","31","19","3","9","7","21","29","2","1","0","2","6","1","0","2","5","19","3","4","12","10","27","1","2","0","2","2","0","1","5","6","38","6","13","19","31","56","3","3","0","4","8","1","1","7","11"
"2017-2018","West Ham","42","19","7","6","6","24","26","4","2","1","0","6","0","0","2","4","19","3","6","10","24","42","2","1","0","2","3","1","1","2","7","38","10","12","16","48","68","6","3","1","2","9","1","1","4","11"
